id,SalePrice
2658,158595.4710335805
2718,177466.43869788083
2414,189395.45178990962
1989,115787.1595690806
625,170814.1723654756
333,108695.96264518879
1327,106578.35191130645
858,135665.10576278946
95,198153.30792982897
1568,165399.90934462904
2482,170511.62239580738
1364,122221.32462723443
2584,152715.8288773859
818,280550.38832063193
2673,150493.3598293429
2089,117764.12347054115
1297,165300.2453110799
790,124397.06881448282
2616,193743.94277674408
720,190013.2115353886
222,123418.27249379581
557,134288.2519909233
1148,202287.8475499021
2766,156994.0000363085
534,184988.80803667905
1452,121752.03228269407
630,116631.95056923297
2648,118624.25630081445
125,149979.68091673902
1904,74092.48901655394
1670,116897.85548205956
756,106946.31444967666
717,251177.62179086934
1032,156974.91592750663
852,212048.84010585956
1731,169743.39979196223
2639,117418.51827467841
2071,109571.04977220745
1267,102078.41953960765
1851,197213.0549719929
567,150646.2089383976
2439,208370.40131590568
1898,145909.13627881816
647,152752.20573531903
2256,230042.28441603278
979,104915.05584236074
1444,220178.64311700303
2485,128309.34060364807
157,116670.32890997201
88,136609.37399836973
2003,118467.46145774687
186,218194.0865983391
1425,253734.8919841561
2695,120371.53757720703
738,102762.67909290118
395,143911.4212459643
1353,175698.84907102183
1878,143527.3676022048
390,175024.9947672272
1456,238533.4175705922
1103,360946.9558941958
1387,149334.98802419356
2070,122904.21252261041
1199,187628.0291228179
2479,178569.9234226778
501,319682.3528971375
2362,108363.14421019278
1718,209299.13522950816
2188,83224.54508305257
1483,149524.7740008564
2557,90018.25342843408
437,335547.2326519282
2224,185078.25584955807
1628,166331.45321486457
397,129111.46982257042
587,191351.62638707738
2182,863024.0401789763
971,139828.6882210716
2611,151097.70489454785
1887,102895.0094028528
2399,384580.60035007756
2148,205248.1234255102
304,130789.29144980652
1997,123022.49901862253
2817,109202.22646766127
1431,176203.0130173298
427,386072.0052193061
263,127030.20695008492
598,175482.84971186868
2895,247836.11519363662
687,153551.9674793385
1822,128125.410074642
2191,99504.87359882094
179,127353.53055889437
1009,210151.63021436243
2010,119977.65666267832
1991,148243.95053318475
1411,160481.54253418467
1721,239754.7665759357
1144,191872.5782586165
593,224139.77323842872
575,316222.9976020369
1249,177558.79950626276
1604,130951.27969667062
1064,557238.3628953304
1923,159238.48433466908
1988,103698.52958778376
2325,164639.21682216012
114,198860.95473962862
2700,192013.1769523295
217,128397.36781279824
343,184017.0714849241
386,234643.85989385447
2005,110008.8701778054
2908,127511.65472254835
1814,245954.95755292277
2446,601026.8481042009
208,133533.0522997227
1679,124799.00206619236
822,351313.4369063303
6,177314.33664859482
1781,462982.22243613924
2397,277274.75571101945
2340,300115.0958753001
1618,158524.94866842494
2843,146482.7611924582
1061,378267.8198639336
2786,120039.5932372401
1935,127032.30946913762
1341,109499.533143412
521,266322.14538754744
2136,131735.35609327722
996,185254.14500949043
227,137847.99644790828
135,153975.17107646033
1167,169995.46306248324
294,232581.8226206175
1776,200034.3209009529
540,174927.7291408995
1717,204374.76366922626
2303,124916.1817123572
116,182801.5892553592
127,116517.78365322028
1371,126869.54799603214
1014,160667.88867041614
1507,100665.5926176541
702,152151.79424478338
750,157067.9695475569
261,146886.63043049563
1559,83346.54648218465
577,227715.5926046766
2812,201482.16655399709
2080,162616.02802598875
1368,117007.056704332
2376,129600.14538844366
659,96871.61918586622
1235,135876.79222818254
332,96489.87530787088
1917,143476.19229171908
2094,238519.50466441904
1460,289768.2402068395
1471,195818.62793895166
1509,120960.52002442093
1922,126278.2243276562
433,575968.6557624158
460,268429.1722521008
1116,232301.16364658627
1137,170499.66933118965
53,173932.95116934675
2354,259286.37399194195
1475,202406.5745169788
1761,635718.7766795366
842,144433.42692897504
2739,166747.01795345105
2509,160774.24546296662
1007,203038.8838860973
2610,174841.2957295978
1952,90531.5460378397
2719,189018.65962538368
2921,108384.85511261839
1966,144717.35374168807
292,122065.37125770331
1204,208375.2399394883
1829,236684.9756568826
2419,180598.22986470928
391,153215.58977739088
798,128988.468423025
481,193758.36023490425
193,194031.4286392785
555,119451.17339967689
899,89449.73419847543
2357,182911.97289503997
328,135602.59046202656
1356,111531.42039390464
1154,119776.93142203637
1730,165135.77744699613
2249,148661.9409105386
1119,269579.28038432286
2856,138879.92363277002
1394,132327.94296391503
2587,129670.3169937172
61,315734.5857744396
2661,190373.62292302598
2711,135483.52294735535
1147,187945.1527771104
757,128585.8438170999
2623,99992.93922722136
2378,154065.62561572125
1413,137578.9067633773
1722,213221.65523609478
1112,202079.83161227027
1623,189370.50464355253
1201,198697.11166350576
1513,104475.53329813255
957,251035.4760813294
1171,276482.8653766282
1145,204575.8494861459
2726,225728.62937748418
703,145765.85847306924
760,100000.88821938349
1964,129564.12620553907
2512,186501.8320629708
159,167639.91693484402
1281,174983.18137579918
468,165588.37531730605
290,121411.59985034529
665,104806.21008723088
1463,273338.8101896975
1792,221673.27270668827
923,146741.49106592961
500,303268.63614246156
1408,153976.3716585424
331,89637.74493988416
170,107646.8905936344
2192,106985.69569222517
2571,347811.6045560669
2314,166766.36598769893
2647,98947.76965348833
422,479586.2436757748
2457,359384.12515354727
1838,193979.8555665657
2805,243987.84513416004
1645,160278.90155737623
1711,291732.08589768165
2825,245740.09786043235
322,344756.1397956267
2103,262733.5280649312
342,137062.3667027847
600,118004.83890117466
488,175482.7757050808
1725,332847.0912806088
2246,285242.59611387824
2847,153867.2708559528
806,254620.56463496463
530,226585.09800625694
963,189259.56124057318
2678,96082.36974635535
171,84501.47061775651
2401,483088.49171275226
805,222164.13843028797
2259,221123.9792513596
1748,167285.4595402382
1361,150842.05818441132
1677,134353.25621095757
1406,145758.88154885313
2322,216111.301951762
688,168152.57129189966
143,150983.61307462124
804,206953.26091347274
1214,167825.71123133317
2828,154406.04383030458
1999,205708.65272184697
2467,192041.18096095035
2665,169869.85523421713
1538,374280.1372566399
398,123137.34835730052
2822,147685.86835105508
2157,148144.20998938673
1856,163365.57523364658
1269,109835.51241939327
2570,136839.19906031445
2320,233081.67260076944
1517,139426.97527615333
2304,119538.87139701037
1312,94615.4189078749
2012,139277.69289608242
506,219858.90978652908
2865,191797.13434025936
2367,116386.57983625383
554,109677.65981973003
238,145001.46761785806
1954,112551.97047569041
2488,156599.40268352392
2291,105214.10111421607
1969,105147.42703990923
2725,164575.0481019966
1482,149524.7740008564
2763,198376.26174566915
503,254949.28173377033
1584,243001.15494574312
1531,148389.73936056963
2210,184364.33854372494
459,356577.39757779444
556,133874.5852695256
1347,152174.84150564825
1290,95387.59626329289
1388,114309.9671656606
1571,190190.42383501216
2754,194780.60172662901
765,154012.54251649647
2494,134441.76944769878
2870,187738.91014208575
7,223443.83457820825
1114,250132.75343252363
2418,278863.0941832488
291,142033.40463729913
18,346525.57916206203
39,395180.5671755269
1001,256654.7576835162
2442,239515.99391880387
616,120100.5968813603
2680,84351.67192117141
1414,118696.18338817678
289,135242.31277761562
40,255490.23332861008
860,138116.7934085596
409,154710.289053591
673,157729.30252963328
2427,174504.32342907504
2036,189637.73791835955
2564,135041.15852468065
642,174522.4776062929
1008,175354.39248627395
1908,154125.04959275428
2519,216822.70966792636
1369,97408.08738819305
2855,169106.03167967463
712,95058.42328296138
1943,105082.97598376728
1958,130270.70356690198
107,162271.77061108724
2295,185557.3833657511
704,107970.2014262686
676,135277.0945852839
259,178452.356699979
93,307717.7636148818
106,240062.67165068616
2315,170543.66901128378
